Quality,SSIM,PSNR (dB),File Size (KB)
90,0.9961175218996089,52.18219115007457,1072.326171875
70,0.9893592417390463,47.90138394124847,772.8330078125
50,0.9693077329021865,41.220596732882946,656.74609375
30,0.9513885276275876,39.0323753592248,455.50390625
10,0.8842935580227417,32.35249605566962,345.658203125
